country,region,happinessscore,GDP_PerCapita,Beer_PerCapita,Spirit_PerCapita,Wine_PerCapita
Denmark,Western Europe,7.526,53.579,224,81,278
Switzerland,Western Europe,7.509,79.866,185,100,280
Iceland,Western Europe,7.501,60.53,233,61,78
Norway,Western Europe,7.498,70.89,169,71,129
Finland,Western Europe,7.413,43.433,263,133,97
Canada,North America,7.404,42.349,240,122,100
Netherlands,Western Europe,7.339,45.638,251,88,190
New Zealand,Australia and New Zealand,7.334,40.332,203,79,175
Australia,Australia and New Zealand,7.313,49.897,261,72,212
Sweden,Western Europe,7.291,51.845,152,60,186
Israel,Middle East and Northern Africa,7.267,37.181,63,69,9
Austria,Western Europe,7.119,44.731,279,75,191
United States,North America,7.104,57.589,249,158,84
Costa Rica,Latin America and Caribbean,7.087,11.733,149,87,11
Germany,Western Europe,6.994,42.233,346,117,175
Brazil,Latin America and Caribbean,6.952,8.639,245,145,16
Belgium,Western Europe,6.929,41.261,295,84,212
Ireland,Western Europe,6.907,64.1,313,118,165
Luxembourg,Western Europe,6.871,100.739,236,133,271
Mexico,Latin America and Caribbean,6.778,8.444,238,68,5
Singapore,Southeastern Asia,6.739,55.243,60,12,11
United Kingdom,Western Europe,6.725,40.412,219,126,195
Chile,Latin America and Caribbean,6.705,13.961,130,124,172
Panama,Latin America and Caribbean,6.701,14.333,285,104,18
Argentina,Latin America and Caribbean,6.65,12.654,193,25,221
Czech Republic,Central and Eastern Europe,6.596,18.484,361,170,134
United Arab Emirates,Middle East and Northern Africa,6.573,38.518,16,135,5
Uruguay,Latin America and Caribbean,6.545,15.298,115,35,220
Malta,Western Europe,6.488,24.771,149,100,120
Colombia,Latin America and Caribbean,6.481,5.757,159,76,3
France,Western Europe,6.478,36.87,127,151,370
Thailand,Southeastern Asia,6.474,5.979,99,258,1
Qatar,Middle East and Northern Africa,6.375,59.324,1,42,7
Spain,Western Europe,6.361,26.617,284,157,112
Guatemala,Latin America and Caribbean,6.324,4.141,53,69,2
Suriname,Latin America and Caribbean,6.269,5.871,128,178,7
Bahrain,Middle East and Northern Africa,6.218,22.561,42,63,7
Trinidad and Tobago,Latin America and Caribbean,6.168,16.352,197,156,7
Venezuela,Latin America and Caribbean,6.084,15.692,333,100,3
Slovakia,Central and Eastern Europe,6.078,16.53,196,293,116
El Salvador,Latin America and Caribbean,6.068,3.769,52,69,2
Nicaragua,Latin America and Caribbean,5.992,2.144,78,118,1
Uzbekistan,Central and Eastern Europe,5.987,2.106,25,101,8
Italy,Western Europe,5.977,30.669,85,42,237
Ecuador,Latin America and Caribbean,5.976,6.019,162,74,3
Belize,Latin America and Caribbean,5.956,4.96,263,114,8
Japan,Eastern Asia,5.921,38.972,77,202,16
Kazakhstan,Central and Eastern Europe,5.919,7.715,124,246,12
Moldova,Central and Eastern Europe,5.897,1.913,109,226,18
Russian Federation,Central and Eastern Europe,5.856,8.748,247,326,73
South Korea,Eastern Asia,5.835,27.105,140,16,9
Poland,Central and Eastern Europe,5.835,12.415,343,215,56
Bolivia,Latin America and Caribbean,5.822,3.117,167,41,8
Lithuania,Central and Eastern Europe,5.813,14.913,343,244,56
Belarus,Central and Eastern Europe,5.802,5.023,142,373,42
Slovenia,Central and Eastern Europe,5.768,21.65,270,51,276
Peru,Latin America and Caribbean,5.743,6.031,163,160,21
Turkmenistan,Central and Eastern Europe,5.658,6.389,19,71,32
